Flops of dymobilenetv2: original 306.942784 M, target 199.5128096 M, possible 220.099888 M, main 188.82848 M, dgc 118.114304 M, mask 1.742832 M
Flops of dymobilenetv2: original 306.942784 M, target 199.5128096 M, possible 220.099888 M, main 188.82848 M, dgc 118.114304 M, mask 1.742832 M
Epoch 012/150: (64.0800 85.8240) | 291.9061 M (103.9615 -2.6268) || train (59.9893 81.5422) | 288.9853 M (100.7328 -2.3187)| loss 2.6743 || lr 0.073822-0.014764-0.014764 | Time 2021-09-14 05:26:04
Epoch 013/150: (63.6380 85.7300) | 289.5205 M (101.9058 -2.9567) || train (60.1123 81.7630) | 287.5486 M (99.5261 -2.5489)| loss 2.6668 || lr 0.073619-0.014724-0.014724 | Time 2021-09-14 05:44:35
Epoch 013/150: (63.6380 85.7300) | 289.5205 M (101.9058 -2.9567) || train (60.1770 81.6769) | 287.5492 M (99.5266 -2.5486)| loss 2.6668 || lr 0.073619-0.014724-0.014724 | Time 2021-09-14 05:44:35
Epoch 014/150: (64.8420 86.2500) | 287.9070 M (100.4794 -3.1436) || train (60.1649 81.7367) | 286.1158 M (98.3317 -2.7872)| loss 2.6635 || lr 0.073399-0.014680-0.014680 | Time 2021-09-14 06:03:04
Epoch 014/150: (64.8420 86.2500) | 287.9070 M (100.4794 -3.1436) || train (60.1409 81.7730) | 286.1157 M (98.3317 -2.7873)| loss 2.6634 || lr 0.073399-0.014680-0.014680 | Time 2021-09-14 06:03:04
Epoch 015/150: (64.7660 86.4040) | 285.9766 M (98.9214 -3.5161) || train (60.2684 81.7798) | 284.6781 M (97.1834 -3.0767)| loss 2.6590 || lr 0.073165-0.014633-0.014633 | Time 2021-09-14 06:21:35
Epoch 015/150: (64.7660 86.4040) | 285.9766 M (98.9214 -3.5161) || train (60.2739 81.9051) | 284.6785 M (97.1834 -3.0762)| loss 2.6572 || lr 0.073165-0.014633-0.014633 | Time 2021-09-14 06:21:35
Epoch 016/150: (63.9480 85.7260) | 284.2294 M (97.5518 -3.8937) || train (60.3045 81.9035) | 283.2443 M (96.0838 -3.4108)| loss 2.6541 || lr 0.072914-0.014583-0.014583 | Time 2021-09-14 06:40:05
Epoch 016/150: (63.9480 85.7260) | 284.2294 M (97.5518 -3.8937) || train (60.4072 81.9124) | 283.2444 M (96.0837 -3.4106)| loss 2.6505 || lr 0.072914-0.014583-0.014583 | Time 2021-09-14 06:40:05
Epoch 017/150: (65.2160 86.3720) | 282.4339 M (96.2202 -4.3576) || train (60.4035 81.8837) | 281.8077 M (95.0119 -3.7756)| loss 2.6523 || lr 0.072648-0.014530-0.014530 | Time 2021-09-14 06:58:35
