Flops of dyresnet50: original 4050.649088 M, target 1851.146633216 M, possible 1365.906432 M, main 441.188352 M, dgc 3617.087488 M, mask 20.446208 M
Flops of dyresnet50: original 4050.649088 M, target 1851.146633216 M, possible 1365.906432 M, main 441.188352 M, dgc 3617.087488 M, mask 20.446208 M
Epoch 012/120: (69.7700 89.8780) | 3738.4317 M (3336.6957 -59.8986) || train (68.3245 87.4054) | 3589.9636 M (3195.2814 -66.9524)| loss 2.2481 || lr 0.073165-0.014633-0.014633 | Time 2021-08-18 01:48:50
Epoch 013/120: (70.5100 90.0500) | 3679.5627 M (3275.0777 -57.1495) || train (68.5634 87.5617) | 3553.2925 M (3155.6379 -63.9800)| loss 2.2366 || lr 0.072849-0.014570-0.014570 | Time 2021-08-18 02:29:36
Epoch 013/120: (70.5100 90.0500) | 3679.5627 M (3275.0777 -57.1495) || train (68.5435 87.5067) | 3553.2949 M (3155.6422 -63.9818)| loss 2.2384 || lr 0.072849-0.014570-0.014570 | Time 2021-08-18 02:29:36
Epoch 014/120: (71.1900 90.6980) | 3628.5043 M (3224.2052 -57.3354) || train (68.6786 87.6787) | 3516.7313 M (3117.2265 -62.1298)| loss 2.2306 || lr 0.072509-0.014502-0.014502 | Time 2021-08-18 03:10:22
Epoch 014/120: (71.1900 90.6980) | 3628.5043 M (3224.2052 -57.3354) || train (68.5969 87.5866) | 3516.7656 M (3117.2578 -62.1267)| loss 2.2326 || lr 0.072509-0.014502-0.014502 | Time 2021-08-18 03:10:22
Epoch 015/120: (71.2240 90.4560) | 3582.3963 M (3179.2034 -58.4416) || train (68.8556 87.7171) | 3480.1501 M (3080.2857 -61.7702)| loss 2.2222 || lr 0.072145-0.014429-0.014429 | Time 2021-08-18 03:51:08
Epoch 015/120: (71.2240 90.4560) | 3582.3963 M (3179.2034 -58.4416) || train (68.8409 87.7357) | 3480.1316 M (3080.2776 -61.7806)| loss 2.2216 || lr 0.072145-0.014429-0.014429 | Time 2021-08-18 03:51:08
Epoch 016/120: (71.2940 90.4720) | 3540.5785 M (3138.4775 -59.5336) || train (69.0439 87.9145) | 3443.5975 M (3044.4835 -62.5206)| loss 2.2112 || lr 0.071758-0.014352-0.014352 | Time 2021-08-18 04:31:52
Epoch 016/120: (71.2940 90.4720) | 3540.5785 M (3138.4775 -59.5336) || train (69.0244 87.8450) | 3443.6067 M (3044.4893 -62.5171)| loss 2.2138 || lr 0.071758-0.014352-0.014352 | Time 2021-08-18 04:31:52
Epoch 017/120: (71.1380 90.6280) | 3497.8586 M (3097.2953 -61.0713) || train (69.0860 87.8437) | 3407.0635 M (3009.3083 -63.8793)| loss 2.2100 || lr 0.071347-0.014269-0.014269 | Time 2021-08-18 05:12:34
Epoch 017/120: (71.1380 90.6280) | 3497.8586 M (3097.2953 -61.0713) || train (69.2758 87.9718) | 3407.0437 M (3009.2889 -63.8798)| loss 2.2032 || lr 0.071347-0.014269-0.014269 | Time 2021-08-18 05:12:34
Epoch 018/120: (71.3400 90.6160) | 3459.1189 M (3058.6766 -61.1923) || train (69.3230 87.9786) | 3370.5898 M (2974.2403 -65.2851)| loss 2.2007 || lr 0.070913-0.014183-0.014183 | Time 2021-08-18 05:53:23
Epoch 018/120: (71.3400 90.6160) | 3459.1189 M (3058.6766 -61.1923) || train (69.3394 88.0498) | 3370.5821 M (2974.2293 -65.2817)| loss 2.1974 || lr 0.070913-0.014183-0.014183 | Time 2021-08-18 05:53:23
Epoch 019/120: (71.1960 90.3060) | 3416.2674 M (3016.3289 -61.6961) || train (69.4846 88.0943) | 3334.0642 M (2939.2215 -66.7919)| loss 2.1925 || lr 0.070456-0.014091-0.014091 | Time 2021-08-18 06:34:08
Epoch 019/120: (71.1960 90.3060) | 3416.2674 M (3016.3289 -61.6961) || train (69.5167 88.1290) | 3334.0753 M (2939.2247 -66.7840)| loss 2.1905 || lr 0.070456-0.014091-0.014091 | Time 2021-08-18 06:34:08
Epoch 020/120: (71.5160 90.7080) | 3373.3309 M (2974.1781 -62.4818) || train (69.6739 88.2417) | 3297.4576 M (2903.6257 -67.8026)| loss 2.1836 || lr 0.069976-0.013995-0.013995 | Time 2021-08-18 07:14:52
Epoch 020/120: (71.5160 90.7080) | 3373.3309 M (2974.1781 -62.4818) || train (69.6803 88.2076) | 3297.4618 M (2903.6320 -67.8047)| loss 2.1844 || lr 0.069976-0.013995-0.013995 | Time 2021-08-18 07:14:52
Epoch 021/120: (71.6480 90.7500) | 3331.6688 M (2932.8807 -62.8465) || train (69.7515 88.2234) | 3260.9320 M (2867.7887 -68.4912)| loss 2.1803 || lr 0.069474-0.013895-0.013895 | Time 2021-08-18 07:55:43
Epoch 021/120: (71.6480 90.7500) | 3331.6688 M (2932.8807 -62.8465) || train (69.7685 88.3264) | 3260.9351 M (2867.7863 -68.4858)| loss 2.1767 || lr 0.069474-0.013895-0.013895 | Time 2021-08-18 07:55:43
Epoch 022/120: (70.9600 90.4220) | 3289.1985 M (2891.9981 -64.4341) || train (69.9371 88.3508) | 3224.2700 M (2831.6837 -69.0482)| loss 2.1719 || lr 0.068950-0.013790-0.013790 | Time 2021-08-18 08:36:32
Epoch 022/120: (70.9600 90.4220) | 3289.1985 M (2891.9981 -64.4341) || train (69.8959 88.3136) | 3224.2734 M (2831.6882 -69.0493)| loss 2.1756 || lr 0.068950-0.013790-0.013790 | Time 2021-08-18 08:36:32
Epoch 023/120: (71.8840 90.9760) | 3245.2693 M (2848.7681 -65.1334) || train (70.0081 88.4182) | 3187.7086 M (2795.7372 -69.6632)| loss 2.1667 || lr 0.068405-0.013681-0.013681 | Time 2021-08-18 09:17:19
Epoch 023/120: (71.8840 90.9760) | 3245.2693 M (2848.7681 -65.1334) || train (70.0973 88.4975) | 3187.7104 M (2795.7371 -69.6613)| loss 2.1642 || lr 0.068405-0.013681-0.013681 | Time 2021-08-18 09:17:19
Epoch 024/120: (71.7500 90.8680) | 3204.4874 M (2808.7652 -65.9123) || train (70.0834 88.4647) | 3151.0925 M (2759.8706 -70.4126)| loss 2.1640 || lr 0.067838-0.013568-0.013568 | Time 2021-08-18 09:58:07
Epoch 024/120: (71.7500 90.8680) | 3204.4874 M (2808.7652 -65.9123) || train (70.1702 88.5617) | 3151.0902 M (2759.8683 -70.4127)| loss 2.1611 || lr 0.067838-0.013568-0.013568 | Time 2021-08-18 09:58:07
Epoch 025/120: (72.2000 90.9800) | 3156.3819 M (2761.5548 -66.8075) || train (70.1897 88.5885) | 3114.4615 M (2724.2104 -71.3835)| loss 2.1563 || lr 0.067251-0.013450-0.013450 | Time 2021-08-18 10:38:55
Epoch 025/120: (72.2000 90.9800) | 3156.3819 M (2761.5548 -66.8075) || train (70.2787 88.6066) | 3114.4744 M (2724.2186 -71.3787)| loss 2.1555 || lr 0.067251-0.013450-0.013450 | Time 2021-08-18 10:38:55
Epoch 026/120: (71.8440 90.9000) | 3107.0992 M (2713.8921 -68.4274) || train (70.4089 88.7297) | 3077.8286 M (2688.6430 -72.4489)| loss 2.1488 || lr 0.066643-0.013329-0.013329 | Time 2021-08-18 11:19:44
Epoch 026/120: (71.8440 90.9000) | 3107.0992 M (2713.8921 -68.4274) || train (70.4054 88.6574) | 3077.8156 M (2688.6324 -72.4514)| loss 2.1500 || lr 0.066643-0.013329-0.013329 | Time 2021-08-18 11:19:44
Epoch 027/120: (71.6880 90.9520) | 3063.7621 M (2672.3356 -70.2080) || train (70.4655 88.6516) | 3041.1247 M (2653.2669 -73.7767)| loss 2.1491 || lr 0.066015-0.013203-0.013203 | Time 2021-08-18 12:00:29
Epoch 027/120: (71.6880 90.9520) | 3063.7621 M (2672.3356 -70.2080) || train (70.4248 88.7273) | 3041.1207 M (2653.2624 -73.7763)| loss 2.1467 || lr 0.066015-0.013203-0.013203 | Time 2021-08-18 12:00:29
Epoch 028/120: (71.5760 90.6820) | 3020.1928 M (2630.2563 -71.6981) || train (70.6345 88.7167) | 3004.5273 M (2618.1347 -75.2420)| loss 2.1434 || lr 0.065368-0.013074-0.013074 | Time 2021-08-18 12:41:17
Epoch 028/120: (71.5760 90.6820) | 3020.1928 M (2630.2563 -71.6981) || train (70.6298 88.7816) | 3004.5297 M (2618.1394 -75.2443)| loss 2.1413 || lr 0.065368-0.013074-0.013074 | Time 2021-08-18 12:41:17
Epoch 029/120: (71.4980 90.4780) | 2976.1243 M (2588.1035 -73.6138) || train (70.6580 88.8417) | 2967.8976 M (2583.0893 -76.8262)| loss 2.1376 || lr 0.064702-0.012940-0.012940 | Time 2021-08-18 13:22:04
