Flops of dyresnet50: original 4050.649088 M, target 1851.146633216 M, possible 1354.224128 M, main 441.188352 M, dgc 3609.460736 M, mask 10.670592 M
Flops of dyresnet50: original 4050.649088 M, target 1851.146633216 M, possible 1354.224128 M, main 441.188352 M, dgc 3609.460736 M, mask 10.670592 M
Epoch 012/120: (69.5920 89.6120) | 3786.8754 M (3427.3078 -92.2914) || train (67.1771 86.5899) | 3589.9596 M (3228.8722 -90.7715)| loss 2.3136 || lr 0.073165-0.014633-0.014633 | Time 2021-08-11 10:10:27
Epoch 013/120: (69.0440 89.5180) | 3731.2035 M (3371.8469 -92.5024) || train (67.2617 86.7046) | 3553.0159 M (3194.0764 -92.9195)| loss 2.3033 || lr 0.072849-0.014570-0.014570 | Time 2021-08-11 10:50:20
Epoch 013/120: (69.0440 89.5180) | 3731.2035 M (3371.8469 -92.5024) || train (67.3913 86.7647) | 3553.0274 M (3194.0753 -92.9068)| loss 2.3015 || lr 0.072849-0.014570-0.014570 | Time 2021-08-11 10:50:20
Epoch 014/120: (69.5420 89.5680) | 3668.4596 M (3305.0059 -88.4052) || train (67.4460 86.8095) | 3516.3390 M (3157.4763 -92.9963)| loss 2.2966 || lr 0.072509-0.014502-0.014502 | Time 2021-08-11 11:30:10
Epoch 014/120: (69.5420 89.5680) | 3668.4596 M (3305.0059 -88.4052) || train (67.4684 86.9068) | 3516.3638 M (3157.4966 -92.9917)| loss 2.2936 || lr 0.072509-0.014502-0.014502 | Time 2021-08-11 11:30:10
Epoch 015/120: (70.6080 90.2640) | 3617.8430 M (3249.0302 -83.0461) || train (67.5307 86.8309) | 3479.5964 M (3119.4894 -91.7520)| loss 2.2916 || lr 0.072145-0.014429-0.014429 | Time 2021-08-11 12:09:59
Epoch 015/120: (70.6080 90.2640) | 3617.8430 M (3249.0302 -83.0461) || train (67.6743 86.9325) | 3479.5899 M (3119.4895 -91.7585)| loss 2.2862 || lr 0.072145-0.014429-0.014429 | Time 2021-08-11 12:09:59
Epoch 016/120: (69.2900 89.5800) | 3553.4825 M (3182.4010 -80.7774) || train (67.7794 87.0723) | 3442.8930 M (3080.9892 -89.9552)| loss 2.2783 || lr 0.071758-0.014352-0.014352 | Time 2021-08-11 12:49:51
Epoch 016/120: (69.2900 89.5800) | 3553.4825 M (3182.4010 -80.7774) || train (67.7916 87.0279) | 3442.9347 M (3081.0292 -89.9535)| loss 2.2797 || lr 0.071758-0.014352-0.014352 | Time 2021-08-11 12:49:51
Epoch 017/120: (69.9620 89.8140) | 3509.4404 M (3137.1771 -79.5957) || train (67.8879 87.1038) | 3406.1897 M (3043.0005 -88.6697)| loss 2.2754 || lr 0.071347-0.014269-0.014269 | Time 2021-08-11 13:29:37
Epoch 017/120: (69.9620 89.8140) | 3509.4404 M (3137.1771 -79.5957) || train (68.0787 87.1322) | 3406.1749 M (3042.9843 -88.6684)| loss 2.2686 || lr 0.071347-0.014269-0.014269 | Time 2021-08-11 13:29:37
Epoch 018/120: (70.5980 90.0020) | 3464.3771 M (3093.2943 -80.7761) || train (68.0854 87.2223) | 3369.6154 M (3005.9525 -88.1960)| loss 2.2637 || lr 0.070913-0.014183-0.014183 | Time 2021-08-11 14:09:28
Epoch 018/120: (70.5980 90.0020) | 3464.3771 M (3093.2943 -80.7761) || train (68.0296 87.1912) | 3369.6329 M (3005.9709 -88.1969)| loss 2.2661 || lr 0.070913-0.014183-0.014183 | Time 2021-08-11 14:09:28
Epoch 019/120: (71.3100 90.4820) | 3418.7454 M (3048.8425 -81.9560) || train (68.1982 87.2730) | 3333.0616 M (2970.1612 -88.9586)| loss 2.2600 || lr 0.070456-0.014091-0.014091 | Time 2021-08-11 14:50:10
Epoch 019/120: (71.3100 90.4820) | 3418.7454 M (3048.8425 -81.9560) || train (68.2295 87.3439) | 3333.0741 M (2970.1720 -88.9569)| loss 2.2564 || lr 0.070456-0.014091-0.014091 | Time 2021-08-11 14:50:11
Epoch 020/120: (70.9780 90.4380) | 3373.4896 M (3005.5193 -83.8887) || train (68.4213 87.4134) | 3296.4438 M (2934.6184 -90.0336)| loss 2.2481 || lr 0.069976-0.013995-0.013995 | Time 2021-08-11 15:31:16
Epoch 020/120: (70.9780 90.4380) | 3373.4896 M (3005.5193 -83.8887) || train (68.4271 87.4571) | 3296.4358 M (2934.6021 -90.0252)| loss 2.2479 || lr 0.069976-0.013995-0.013995 | Time 2021-08-11 15:31:16
Epoch 021/120: (71.0660 90.5500) | 3327.3950 M (2960.8993 -85.3633) || train (68.4521 87.5517) | 3259.8554 M (2899.5076 -91.5111)| loss 2.2438 || lr 0.069474-0.013895-0.013895 | Time 2021-08-11 16:11:38
Epoch 021/120: (71.0660 90.5500) | 3327.3950 M (2960.8993 -85.3633) || train (68.4992 87.4363) | 3259.8639 M (2899.5196 -91.5146)| loss 2.2482 || lr 0.069474-0.013895-0.013895 | Time 2021-08-11 16:11:38
Epoch 022/120: (70.7880 90.4360) | 3286.9725 M (2921.7836 -86.6700) || train (68.6741 87.5834) | 3223.2499 M (2864.8678 -93.4769)| loss 2.2367 || lr 0.068950-0.013790-0.013790 | Time 2021-08-11 16:52:11
Epoch 022/120: (70.7880 90.4360) | 3286.9725 M (2921.7836 -86.6700) || train (68.6027 87.5507) | 3223.2571 M (2864.8707 -93.4725)| loss 2.2398 || lr 0.068950-0.013790-0.013790 | Time 2021-08-11 16:52:11
Epoch 023/120: (71.5000 90.7020) | 3244.4016 M (2881.2907 -88.7481) || train (68.8222 87.6300) | 3186.6543 M (2829.8666 -95.0712)| loss 2.2326 || lr 0.068405-0.013681-0.013681 | Time 2021-08-11 17:32:33
Epoch 023/120: (71.5000 90.7020) | 3244.4016 M (2881.2907 -88.7481) || train (68.6780 87.5843) | 3186.6587 M (2829.8669 -95.0671)| loss 2.2346 || lr 0.068405-0.013681-0.013681 | Time 2021-08-11 17:32:33
Epoch 024/120: (71.4200 90.8720) | 3199.6526 M (2838.8604 -91.0668) || train (68.8757 87.6881) | 3150.0872 M (2794.9789 -96.7507)| loss 2.2282 || lr 0.067838-0.013568-0.013568 | Time 2021-08-11 18:12:58
Epoch 024/120: (71.4200 90.8720) | 3199.6526 M (2838.8604 -91.0668) || train (68.8362 87.7513) | 3150.0911 M (2794.9841 -96.7520)| loss 2.2272 || lr 0.067838-0.013568-0.013568 | Time 2021-08-11 18:12:58
Epoch 025/120: (71.4460 90.7280) | 3153.7698 M (2794.7855 -92.8746) || train (68.9821 87.7585) | 3113.5035 M (2760.4970 -98.8525)| loss 2.2235 || lr 0.067251-0.013450-0.013450 | Time 2021-08-11 18:53:56
Epoch 025/120: (71.4460 90.7280) | 3153.7698 M (2794.7855 -92.8746) || train (68.8575 87.7254) | 3113.4711 M (2760.4761 -98.8639)| loss 2.2248 || lr 0.067251-0.013450-0.013450 | Time 2021-08-11 18:53:56
Epoch 026/120: (71.5060 90.6340) | 3109.2619 M (2753.0401 -95.6371) || train (69.1374 87.9316) | 3076.8001 M (2725.7297 -100.7886)| loss 2.2138 || lr 0.066643-0.013329-0.013329 | Time 2021-08-11 19:49:23
Epoch 026/120: (71.5060 90.6340) | 3109.2619 M (2753.0401 -95.6371) || train (69.0404 87.8331) | 3076.8190 M (2725.7490 -100.7889)| loss 2.2164 || lr 0.066643-0.013329-0.013329 | Time 2021-08-11 19:49:24
Epoch 027/120: (71.0520 90.4700) | 3066.5777 M (2712.0132 -97.2944) || train (69.2217 87.9697) | 3040.2377 M (2690.9834 -102.6046)| loss 2.2109 || lr 0.066015-0.013203-0.013203 | Time 2021-08-11 22:10:55
Epoch 027/120: (71.0520 90.4700) | 3066.5777 M (2712.0132 -97.2944) || train (69.0998 87.8598) | 3040.2633 M (2691.0061 -102.6017)| loss 2.2139 || lr 0.066015-0.013203-0.013203 | Time 2021-08-11 22:10:55
Epoch 028/120: (71.8240 90.9240) | 3023.8092 M (2670.6809 -98.7306) || train (69.3207 87.9924) | 3003.7241 M (2656.1645 -104.2994)| loss 2.2045 || lr 0.065368-0.013074-0.013074 | Time 2021-08-12 08:08:38
Epoch 028/120: (71.8240 90.9240) | 3023.8092 M (2670.6809 -98.7306) || train (69.3473 87.9786) | 3003.7196 M (2656.1622 -104.3015)| loss 2.2069 || lr 0.065368-0.013074-0.013074 | Time 2021-08-12 08:08:38
Epoch 029/120: (71.6440 90.7000) | 2976.4140 M (2625.3971 -100.8420) || train (69.3820 87.9985) | 2967.0832 M (2621.3879 -106.1637)| loss 2.2036 || lr 0.064702-0.012940-0.012940 | Time 2021-08-12 09:07:44
Epoch 029/120: (71.6440 90.7000) | 2976.4140 M (2625.3971 -100.8420) || train (69.4371 88.0645) | 2967.0723 M (2621.3873 -106.1739)| loss 2.1997 || lr 0.064702-0.012940-0.012940 | Time 2021-08-12 09:07:44
Epoch 030/120: (71.3640 90.5680) | 2935.0313 M (2585.8653 -102.6929) || train (69.5570 88.1144) | 2930.4694 M (2586.6233 -108.0129)| loss 2.1956 || lr 0.064017-0.012803-0.012803 | Time 2021-08-12 10:07:04
Epoch 030/120: (71.3640 90.5680) | 2935.0313 M (2585.8653 -102.6929) || train (69.4905 88.1332) | 2930.4640 M (2586.6119 -108.0068)| loss 2.1962 || lr 0.064017-0.012803-0.012803 | Time 2021-08-12 10:07:04
