Flops of dydensenet74: original 2049.913552 M, target 528.877696416 M, possible 539.135152 M, main 9.15528 M, dgc 2040.758272 M, mask 19.790304 M
Flops of dydensenet74: original 2049.913552 M, target 528.877696416 M, possible 539.135152 M, main 9.15528 M, dgc 2040.758272 M, mask 19.790304 M
Epoch 012/120: (72.4900 91.0340) | 1799.4172 M (1771.8335 -1.3619) || train (69.8982 88.2529) | 1732.1567 M (1704.4003 -1.1892)| loss 2.1963 || lr 0.073165-0.014633-0.014633 | Time 2021-08-16 09:59:25
Epoch 013/120: (72.3140 90.9320) | 1766.9608 M (1739.8676 -1.8524) || train (69.9913 88.3445) | 1706.7978 M (1679.3924 -1.5402)| loss 2.1916 || lr 0.072849-0.014570-0.014570 | Time 2021-08-16 10:48:48
Epoch 013/120: (72.3140 90.9320) | 1766.9608 M (1739.8676 -1.8524) || train (70.0842 88.3843) | 1706.7960 M (1679.3911 -1.5407)| loss 2.1885 || lr 0.072849-0.014570-0.014570 | Time 2021-08-16 10:48:48
Epoch 014/120: (72.5200 91.1140) | 1733.8678 M (1707.3512 -2.4290) || train (70.1945 88.4591) | 1681.4369 M (1654.3956 -1.9044)| loss 2.1826 || lr 0.072509-0.014502-0.014502 | Time 2021-08-16 11:38:58
Epoch 014/120: (72.5200 91.1140) | 1733.8678 M (1707.3512 -2.4290) || train (70.2692 88.5347) | 1681.4355 M (1654.3940 -1.9042)| loss 2.1810 || lr 0.072509-0.014502-0.014502 | Time 2021-08-16 11:38:58
Epoch 015/120: (72.5820 91.1400) | 1702.7748 M (1676.6259 -2.7968) || train (70.2688 88.5214) | 1656.1198 M (1629.4709 -2.2967)| loss 2.1789 || lr 0.072145-0.014429-0.014429 | Time 2021-08-16 12:47:05
Epoch 015/120: (72.5820 91.1400) | 1702.7748 M (1676.6259 -2.7968) || train (70.4140 88.5353) | 1656.1157 M (1629.4673 -2.2973)| loss 2.1766 || lr 0.072145-0.014429-0.014429 | Time 2021-08-16 12:47:05
Epoch 016/120: (72.5800 91.1640) | 1671.9802 M (1646.1266 -3.0921) || train (70.3905 88.6149) | 1630.7603 M (1604.4480 -2.6333)| loss 2.1739 || lr 0.071758-0.014352-0.014352 | Time 2021-08-16 14:39:36
Epoch 016/120: (72.5800 91.1640) | 1671.9802 M (1646.1266 -3.0921) || train (70.4821 88.6466) | 1630.7595 M (1604.4471 -2.6332)| loss 2.1709 || lr 0.071758-0.014352-0.014352 | Time 2021-08-16 14:39:36
Epoch 017/120: (72.6280 91.1920) | 1641.3129 M (1615.6373 -3.2700) || train (70.4335 88.5529) | 1605.4256 M (1579.4461 -2.9662)| loss 2.1747 || lr 0.071347-0.014269-0.014269 | Time 2021-08-16 15:44:38
