Flops of dyresnet18: original 1814.073344 M, target 885.267791872 M, possible 559.554176 M, main 137.793536 M, dgc 1680.218624 M, mask 1.705984 M
Flops of dyresnet18: original 1814.073344 M, target 885.267791872 M, possible 559.554176 M, main 137.793536 M, dgc 1680.218624 M, mask 1.705984 M
Epoch 000/120: (62.2060 84.6920) | 1819.2853 M (1679.7858 -0.0000) || train (51.2702 74.6463) | 1700.1066 M (1560.6701 -0.0630)| loss 3.0891 || lr 0.075000-0.015000-0.015000 | Time 2021-08-08 13:05:50
Epoch 000/120: (62.2060 84.6920) | 1819.2853 M (1679.7858 -0.0000) || train (51.1922 74.5891) | 1700.1142 M (1560.6776 -0.0629)| loss 3.0898 || lr 0.075000-0.015000-0.015000 | Time 2021-08-08 13:05:50
Epoch 001/120: (63.3660 85.3500) | 1818.9956 M (1679.4961 -0.0000) || train (57.6789 80.0064) | 1763.3548 M (1623.8657 -0.0104)| loss 2.7848 || lr 0.074987-0.014997-0.014997 | Time 2021-08-08 13:22:17
Epoch 001/120: (63.3660 85.3500) | 1818.9956 M (1679.4961 -0.0000) || train (57.7545 79.9492) | 1763.3571 M (1623.8677 -0.0101)| loss 2.7868 || lr 0.074987-0.014997-0.014997 | Time 2021-08-08 13:22:17
Epoch 002/120: (63.7620 85.6480) | 1801.9855 M (1662.4859 -0.0000) || train (59.3271 81.1725) | 1774.4157 M (1634.9202 -0.0040)| loss 2.7064 || lr 0.074949-0.014990-0.014990 | Time 2021-08-08 13:38:47
Epoch 002/120: (63.7620 85.6480) | 1801.9855 M (1662.4859 -0.0000) || train (59.2985 81.0603) | 1774.4172 M (1634.9216 -0.0039)| loss 2.7096 || lr 0.074949-0.014990-0.014990 | Time 2021-08-08 13:38:47
Epoch 003/120: (63.8880 85.6280) | 1782.9961 M (1643.4966 -0.0000) || train (59.9895 81.5632) | 1759.0335 M (1619.5568 -0.0228)| loss 2.6764 || lr 0.074884-0.014977-0.014977 | Time 2021-08-08 13:55:10
Epoch 003/120: (63.8880 85.6280) | 1782.9961 M (1643.4966 -0.0000) || train (59.9525 81.6062) | 1759.0299 M (1619.5531 -0.0228)| loss 2.6747 || lr 0.074884-0.014977-0.014977 | Time 2021-08-08 13:55:10
Epoch 004/120: (64.1560 85.8240) | 1759.8184 M (1620.3583 -0.0394) || train (60.3245 81.8481) | 1743.5075 M (1604.1323 -0.1244)| loss 2.6545 || lr 0.074795-0.014959-0.014959 | Time 2021-08-08 14:11:42
Epoch 004/120: (64.1560 85.8240) | 1759.8184 M (1620.3583 -0.0394) || train (60.4402 81.9719) | 1743.5051 M (1604.1296 -0.1240)| loss 2.6489 || lr 0.074795-0.014959-0.014959 | Time 2021-08-08 14:11:42
Epoch 005/120: (64.3920 86.0720) | 1739.3336 M (1600.3085 -0.4744) || train (60.6898 82.1135) | 1727.9819 M (1588.8678 -0.3854)| loss 2.6338 || lr 0.074679-0.014936-0.014936 | Time 2021-08-08 14:28:26
Epoch 005/120: (64.3920 86.0720) | 1739.3336 M (1600.3085 -0.4744) || train (60.7994 82.1941) | 1727.9829 M (1588.8686 -0.3852)| loss 2.6295 || lr 0.074679-0.014936-0.014936 | Time 2021-08-08 14:28:26
Epoch 006/120: (64.5380 86.0940) | 1714.6611 M (1576.0079 -0.8463) || train (61.0446 82.3728) | 1712.4972 M (1573.7182 -0.7205)| loss 2.6170 || lr 0.074538-0.014908-0.014908 | Time 2021-08-08 14:44:48
Epoch 006/120: (64.5380 86.0940) | 1714.6611 M (1576.0079 -0.8463) || train (60.8935 82.2904) | 1712.5065 M (1573.7262 -0.7193)| loss 2.6222 || lr 0.074538-0.014908-0.014908 | Time 2021-08-08 14:44:48
Epoch 007/120: (63.2080 85.0300) | 1698.2536 M (1560.0106 -1.2565) || train (61.1723 82.4765) | 1697.1408 M (1558.7784 -1.1371)| loss 2.6071 || lr 0.074372-0.014874-0.014874 | Time 2021-08-08 15:01:17
Epoch 007/120: (63.2080 85.0300) | 1698.2536 M (1560.0106 -1.2565) || train (61.1709 82.4729) | 1697.1481 M (1558.7852 -1.1366)| loss 2.6076 || lr 0.074372-0.014874-0.014874 | Time 2021-08-08 15:01:17
Epoch 008/120: (64.6200 85.9400) | 1680.2317 M (1542.5513 -1.8191) || train (61.4157 82.6327) | 1681.7205 M (1543.8586 -1.6376)| loss 2.5963 || lr 0.074181-0.014836-0.014836 | Time 2021-08-08 15:17:44
Epoch 008/120: (64.6200 85.9400) | 1680.2317 M (1542.5513 -1.8191) || train (61.5084 82.5953) | 1681.7223 M (1543.8591 -1.6363)| loss 2.5956 || lr 0.074181-0.014836-0.014836 | Time 2021-08-08 15:17:44
Epoch 009/120: (65.1020 86.3540) | 1664.6664 M (1527.1620 -1.9951) || train (61.6252 82.7749) | 1666.2813 M (1528.9493 -2.1676)| loss 2.5846 || lr 0.073964-0.014793-0.014793 | Time 2021-08-08 15:34:13
Epoch 009/120: (65.1020 86.3540) | 1664.6664 M (1527.1620 -1.9951) || train (61.6205 82.7604) | 1666.2901 M (1528.9565 -2.1659)| loss 2.5859 || lr 0.073964-0.014793-0.014793 | Time 2021-08-08 15:34:13
Epoch 010/120: (64.9740 86.3320) | 1648.4245 M (1511.9521 -3.0271) || train (61.6230 82.7706) | 1650.8810 M (1514.0855 -2.7041)| loss 2.5836 || lr 0.073722-0.014744-0.014744 | Time 2021-08-08 15:50:33
Epoch 010/120: (64.9740 86.3320) | 1648.4245 M (1511.9521 -3.0271) || train (61.7783 82.8592) | 1650.8800 M (1514.0858 -2.7053)| loss 2.5774 || lr 0.073722-0.014744-0.014744 | Time 2021-08-08 15:50:33
