Flops of dymobilenetv2: original 300.774272 M, target 188.88624281600002 M, possible 214.33296 M, main 182.659968 M, dgc 120.416128 M, mask 1.56896 M
Flops of dymobilenetv2: original 300.774272 M, target 188.88624281600002 M, possible 214.33296 M, main 182.659968 M, dgc 120.416128 M, mask 1.56896 M
Epoch 012/150: (65.2140 86.8060) | 285.3534 M (105.0624 -3.9380) || train (61.1597 82.5466) | 282.0829 M (101.4153 -3.5613)| loss 2.6060 || lr 0.073822-0.014764-0.014764 | Time 2021-08-12 15:30:59
Epoch 013/150: (64.8900 86.6080) | 282.9893 M (103.0444 -4.2840) || train (61.2544 82.5714) | 280.5872 M (100.2417 -3.8835)| loss 2.6011 || lr 0.073619-0.014724-0.014724 | Time 2021-08-12 15:54:18
Epoch 013/150: (64.8900 86.6080) | 282.9893 M (103.0444 -4.2840) || train (61.1286 82.5339) | 280.5875 M (100.2420 -3.8835)| loss 2.6037 || lr 0.073619-0.014724-0.014724 | Time 2021-08-12 15:54:18
Epoch 014/150: (65.0500 86.9160) | 281.0037 M (101.4315 -4.6567) || train (61.3713 82.7067) | 279.0945 M (99.0975 -4.2320)| loss 2.5943 || lr 0.073399-0.014680-0.014680 | Time 2021-08-12 16:17:40
Epoch 014/150: (65.0500 86.9160) | 281.0037 M (101.4315 -4.6567) || train (61.3456 82.6774) | 279.0947 M (99.0977 -4.2319)| loss 2.5928 || lr 0.073399-0.014680-0.014680 | Time 2021-08-12 16:17:40
Epoch 015/150: (65.8340 86.9560) | 279.0570 M (99.9279 -5.0999) || train (61.4505 82.8068) | 277.6020 M (97.9860 -4.6129)| loss 2.5878 || lr 0.073165-0.014633-0.014633 | Time 2021-08-12 16:40:57
Epoch 015/150: (65.8340 86.9560) | 279.0570 M (99.9279 -5.0999) || train (61.3660 82.7685) | 277.6014 M (97.9856 -4.6131)| loss 2.5889 || lr 0.073165-0.014633-0.014633 | Time 2021-08-12 16:40:57
Epoch 016/150: (65.1980 86.9140) | 277.2870 M (98.5998 -5.5418) || train (61.4652 82.8418) | 276.1095 M (96.8877 -5.0071)| loss 2.5857 || lr 0.072914-0.014583-0.014583 | Time 2021-08-12 17:04:18
Epoch 016/150: (65.1980 86.9140) | 277.2870 M (98.5998 -5.5418) || train (61.5822 82.8811) | 276.1098 M (96.8880 -5.0071)| loss 2.5794 || lr 0.072914-0.014583-0.014583 | Time 2021-08-12 17:04:18
Epoch 017/150: (65.6960 86.9840) | 275.6610 M (97.3775 -5.9455) || train (61.7427 82.9431) | 274.6200 M (95.8146 -5.4236)| loss 2.5741 || lr 0.072648-0.014530-0.014530 | Time 2021-08-12 17:27:37
