Flops of dyresnet18: original 1817.209344 M, target 890.4325785599999 M, possible 560.652512 M, main 139.424256 M, dgc 1677.785088 M, mask 1.781984 M
Flops of dyresnet18: original 1817.209344 M, target 890.4325785599999 M, possible 560.652512 M, main 139.424256 M, dgc 1677.785088 M, mask 1.781984 M
Epoch 000/120: (61.6160 84.1040) | 1818.7949 M (1677.5886 -0.0000) || train (50.8386 74.2558) | 1702.6498 M (1561.5042 -0.0607)| loss 3.1189 || lr 0.075000-0.015000-0.015000 | Time 2021-09-13 23:40:11
Epoch 000/120: (61.6180 84.1040) | 1818.7949 M (1677.5886 -0.0000) || train (50.8701 74.2719) | 1702.6487 M (1561.5029 -0.0604)| loss 3.1195 || lr 0.075000-0.015000-0.015000 | Time 2021-09-13 23:40:11
Epoch 001/120: (62.3060 84.6920) | 1818.2589 M (1677.0526 -0.0000) || train (57.1686 79.4525) | 1765.4962 M (1624.2986 -0.0087)| loss 2.8256 || lr 0.074987-0.014997-0.014997 | Time 2021-09-13 23:53:08
Epoch 001/120: (62.3060 84.6920) | 1818.2589 M (1677.0526 -0.0000) || train (57.1247 79.4336) | 1765.5010 M (1624.3035 -0.0088)| loss 2.8264 || lr 0.074987-0.014997-0.014997 | Time 2021-09-13 23:53:08
Epoch 002/120: (63.2620 85.3300) | 1802.0412 M (1660.8349 -0.0000) || train (58.5519 80.4800) | 1777.3151 M (1636.1117 -0.0029)| loss 2.7594 || lr 0.074949-0.014990-0.014990 | Time 2021-09-14 00:06:16
Epoch 002/120: (63.2640 85.3320) | 1802.0412 M (1660.8349 -0.0000) || train (58.6245 80.4900) | 1777.3185 M (1636.1151 -0.0028)| loss 2.7601 || lr 0.074949-0.014990-0.014990 | Time 2021-09-14 00:06:19
Epoch 003/120: (63.4180 85.2380) | 1785.6143 M (1644.4081 -0.0000) || train (59.0163 80.7178) | 1762.2845 M (1621.0871 -0.0088)| loss 2.7380 || lr 0.074884-0.014977-0.014977 | Time 2021-09-14 00:19:26
Epoch 003/120: (63.4180 85.2360) | 1785.6144 M (1644.4081 -0.0000) || train (59.0514 80.8278) | 1762.2768 M (1621.0794 -0.0089)| loss 2.7362 || lr 0.074884-0.014977-0.014977 | Time 2021-09-14 00:19:28
Epoch 004/120: (63.6160 85.2880) | 1765.0201 M (1623.8157 -0.0019) || train (59.3471 81.0885) | 1746.7034 M (1605.5294 -0.0322)| loss 2.7183 || lr 0.074795-0.014959-0.014959 | Time 2021-09-14 00:32:22
Epoch 004/120: (63.6180 85.2880) | 1765.0201 M (1623.8157 -0.0019) || train (59.3323 80.9649) | 1746.7114 M (1605.5371 -0.0321)| loss 2.7210 || lr 0.074795-0.014959-0.014959 | Time 2021-09-14 00:32:23
Epoch 005/120: (63.6580 85.6500) | 1743.4220 M (1602.2295 -0.0138) || train (59.4879 81.1068) | 1731.2392 M (1590.1185 -0.0856)| loss 2.7091 || lr 0.074679-0.014936-0.014936 | Time 2021-09-14 00:45:17
